Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-01-02,30.641,31.522,30.524,,5305000,0.0,0.0
2019-01-03,30.545,30.615,28.849,28.837875257302294,9572200,0.0,0.0
2019-01-04,29.377,30.245,29.25,29.984484667850985,7479400,0.0,0.0
2019-01-07,30.127,31.309,29.961,30.849731995618654,5781000,0.0,0.0
2019-01-08,31.313,31.832,30.903,31.67621443215498,9193600,0.0,0.0
2019-01-09,32.377,33.41,32.333,32.907508974169374,8838000,0.0,0.0
2019-01-10,32.896,33.519,32.809,33.23913592170028,5767600,0.0,0.0
2019-01-11,33.306,34.326,33.114,33.460258325136806,9098800,0.0,0.0
2019-01-14,33.345,33.419,32.351,32.18264575698306,6500600,0.0,0.0
2019-01-15,32.591,33.014,32.451,32.513964622695944,4740600,0.0,0.0
2019-01-16,32.809,33.21,32.669,32.54476612555118,4447800,0.0,0.0
2019-01-17,32.499,33.38,31.941,33.004735598657064,4357400,0.0,0.0
2019-01-18,33.48,34.025,33.027,33.644573058253776,4886600,0.0,0.0
2019-01-22,33.532,33.62,32.438,32.560978435728586,4674000,0.0,0.0
2019-01-23,33.559,33.559,32.155,32.20444047365479,4922600,0.0,0.0
2019-01-24,32.887,34.701,32.682,33.92457194021619,10098000,0.0,0.0
2019-01-25,34.453,35.495,34.243,34.8587879797636,5853600,0.0,0.0
2019-01-28,34.099,35.146,34.021,34.6938156452625,5291000,0.0,0.0
2019-01-29,35.329,35.639,34.575,34.364083697266054,4085800,0.0,0.0
2019-01-30,34.902,35.599,34.104,34.79364033672554,5543600,0.0,0.0
2019-01-31,35.037,35.469,34.801,34.742053041192015,4467800,0.0,0.0
2019-02-01,35.12,35.717,34.845,35.384405964598436,6895000,0.0,0.0
2019-02-04,35.643,36.162,35.22,35.68935650406583,5959600,0.0,0.0
2019-02-05,35.874,36.524,35.874,35.9736645567733,6837800,0.0,0.0
2019-02-06,38.591,40.008,38.377,38.50583726363383,20278200,0.0,0.0
2019-02-07,38.216,38.883,37.736,37.96717389773644,9428800,0.0,0.0
2019-02-08,37.819,38.264,37.514,37.68136931013186,5673200,0.0,0.0
2019-02-11,38.264,38.992,37.937,38.34382117906592,6017800,0.0,0.0
2019-02-12,39.328,40.03,39.319,39.42754210936669,8304800,0.0,0.0
2019-02-13,39.825,40.038,39.506,39.28995857002471,6560400,0.0,0.0
2019-02-14,39.528,40.008,39.201,39.03420367902957,8360600,0.0,0.0
2019-02-15,39.833,39.925,39.28,39.24900811866582,4570200,0.0,0.0
2019-02-19,39.515,39.838,39.271,39.07274130430063,3182000,0.0,0.0
2019-02-20,39.522,40.051,39.184,38.779183615354384,6307000,0.182,0.0
2019-02-21,39.254,39.434,38.733,38.4975702230387,4172000,0.0,0.0
2019-02-22,39.276,39.403,38.729,38.51436219481943,3206800,0.0,0.0
2019-02-25,39.517,39.902,39.268,38.8458800216659,4726400,0.0,0.0
2019-02-26,39.079,39.416,38.93,38.520475916204724,3445600,0.0,0.0
2019-02-27,38.72,38.865,37.928,37.65025269952837,7908000,0.0,0.0
2019-02-28,37.801,38.234,37.792,37.56323891923376,5710400,0.0,0.0
2019-03-01,38.48,38.926,38.147,38.32097235117802,4123800,0.0,0.0
2019-03-04,39.114,39.215,38.348,38.2903491583932,3277400,0.0,0.0
2019-03-05,38.707,38.747,38.191,37.72432706546762,3646000,0.0,0.0
2019-03-06,38.261,38.558,37.827,37.38115085466077,3627400,0.0,0.0
2019-03-07,37.626,37.665,36.886,36.49297268969491,4267400,0.0,0.0
2019-03-08,36.536,37.385,36.361,36.75163921264136,3604600,0.0,0.0
2019-03-11,37.473,38.151,37.328,37.50000382550527,2697600,0.0,0.0
2019-03-12,38.138,38.138,37.656,37.2832716569262,2230000,0.0,0.0
2019-03-13,37.989,38.125,37.205,36.74456711433816,4986200,0.0,0.0
2019-03-14,37.227,37.42,36.741,36.282877272849724,3995200,0.0,0.0
2019-03-15,37.079,38.042,36.925,37.17937381720493,6032400,0.0,0.0
2019-03-18,37.63,37.845,37.109,36.84549777490913,4583800,0.0,0.0
2019-03-19,37.521,37.801,37.411,37.17637556306092,3414400,0.0,0.0
2019-03-20,37.766,37.967,36.632,36.381933606858816,3214800,0.0,0.0
2019-03-21,36.873,38.392,36.873,37.69590207692182,3466400,0.0,0.0
2019-03-22,37.963,38.243,37.389,36.84083900683638,4034600,0.0,0.0
2019-03-25,37.162,37.328,36.343,36.14473248142638,3852600,0.0,0.0
2019-03-26,37.065,37.394,36.684,36.32942547152963,2602200,0.0,0.0
2019-03-27,36.908,37.087,35.529,35.06572687189234,6911600,0.0,0.0
2019-03-28,35.704,36.072,35.038,34.97110641985106,5987600,0.0,0.0
2019-03-29,35.931,36.444,35.879,35.74210817775156,5226400,0.0,0.0
2019-04-01,36.838,38.366,36.825,37.62996327082224,8222800,0.0,0.0
2019-04-02,38.278,38.471,37.875,37.74182879111302,8129800,0.0,0.0
2019-04-03,39.198,39.999,38.812,38.83629261343721,8496800,0.0,0.0
2019-04-04,39.508,40.143,39.487,39.25058159680657,7013200,0.0,0.0
2019-04-05,40.091,40.804,39.981,39.9544154011079,5748200,0.0,0.0
2019-04-08,40.673,41.26,40.257,40.44150969812563,5548400,0.0,0.0
2019-04-09,41.006,41.05,40.524,39.93952932580656,4963600,0.0,0.0
2019-04-10,40.66,41.352,40.388,40.515695677617536,4511400,0.0,0.0
2019-04-11,41.194,41.325,40.726,40.39474587434644,3771400,0.0,0.0
2019-04-12,41.759,41.982,41.435,40.98831677786336,4175200,0.0,0.0
2019-04-15,41.737,42.056,41.487,41.09127175721764,6371200,0.0,0.0
2019-04-16,42.092,42.853,42.065,42.01351004634374,9866400,0.0,0.0
2019-04-17,43.904,43.904,42.49,42.6534629783116,9054600,0.0,0.0
2019-04-18,43.663,43.738,42.915,42.412340532062835,4823600,0.0,0.0
2019-04-22,43.103,43.221,42.678,41.932687318683534,5048200,0.0,0.0
2019-04-23,42.783,43.453,42.713,42.1724235450454,4608600,0.0,0.0
2019-04-24,42.674,43.768,42.656,42.46384226329692,4524400,0.0,0.0
2019-04-25,42.691,43.028,41.855,41.87493553336059,4435200,0.0,0.0
2019-04-26,42.03,43.112,41.632,42.272384939438,2957200,0.0,0.0
2019-04-29,43.015,43.466,42.972,42.40560972358446,2590000,0.0,0.0
2019-04-30,43.694,43.79,43.151,42.90499843720934,3934800,0.0,0.0
2019-05-01,44.075,44.289,43.295,50.25905118554419,5194000,0.0,0.0
2019-05-02,43.326,44.373,42.958,50.84491367084101,3927600,0.0,0.0
2019-05-03,44.075,44.154,43.571,51.16405408396413,2754400,0.0,0.0
2019-05-06,42.35,42.634,41.982,49.21226771825101,7532400,0.0,0.0
2019-05-07,41.921,41.938,40.585,47.75483022103051,11424800,0.0,0.0
2019-05-08,39.381,41.181,39.294,46.413109549818465,8452600,0.0,0.0
2019-05-09,39.215,39.456,37.989,45.3044391965013,9035200,0.0,0.0
2019-05-10,39.123,39.381,38.072,45.23376233368351,6645600,0.0,0.0
2019-05-13,37.534,37.941,36.295,42.285953020642246,9680200,0.0,0.0
2019-05-14,36.868,37.214,36.558,42.81287687357166,8457000,0.0,0.0
2019-05-15,36.649,37.849,36.523,43.386553913104876,6792200,0.0,0.0
2019-05-16,37.135,37.446,36.698,43.02003875365186,6276400,0.0,0.0
2019-05-17,36.645,37.372,36.365,42.089568135682676,4609200,0.0,0.0
2019-05-20,35.391,35.949,34.621,40.35223559199328,7699000,0.183,0.0
2019-05-21,35.51,36.174,35.263,41.55581752656164,5866600,0.0,0.0
2019-05-22,35.615,36.534,35.479,41.49581078176522,5479200,0.0,0.0
2019-05-23,35.4,35.91,35.061,41.37339735827704,5790400,0.0,0.0
2019-05-24,36.121,36.416,35.343,40.776398446787745,3570800,0.0,0.0
2019-05-28,35.417,35.558,34.151,40.10562136039851,7644800,0.0,0.0
2019-05-29,34.551,35.712,34.384,40.82995279742691,5903400,0.0,0.0
2019-05-30,35.461,36.029,35.422,41.227983610959036,6416000,0.0,0.0
2019-05-31,35.127,36.029,34.986,40.55867214512388,8179800,0.0,0.0
2019-06-03,35.351,36.042,34.89,40.41667075691668,5377800,0.0,0.0
2019-06-04,35.593,37.093,35.378,42.63971924409139,4931000,0.0,0.0
2019-06-05,37.37,37.44,35.615,41.65134291074955,3939800,0.0,0.0
2019-06-06,36.314,36.719,35.888,42.054349702565425,3887400,0.0,0.0
2019-06-07,36.824,37.379,36.574,42.327259596355574,3794800,0.0,0.0
2019-06-10,37.269,38.109,37.203,43.365864099308,4620800,0.0,0.0
2019-06-11,38.364,38.443,36.789,43.15836049913541,4389000,0.0,0.0
2019-06-12,37.321,37.321,36.587,42.37736566881382,2874600,0.0,0.0
2019-06-13,37.04,37.414,36.781,42.52429023987904,5221000,0.0,0.0
2019-06-14,35.8,36.728,35.246,42.061851512070724,6846000,0.0,0.0
2019-06-17,36.372,36.697,35.672,41.058890848289735,3902000,0.0,0.0
2019-06-18,36.235,37.704,35.993,42.92174497223892,6121800,0.0,0.0
2019-06-19,37.708,37.708,37.198,42.795247400586184,3662200,0.0,0.0
2019-06-20,38.258,38.328,37.48,43.21233053321593,3224400,0.0,0.0
2019-06-21,37.497,37.81,37.167,42.96937316051445,6570400,0.0,0.0
2019-06-24,37.427,37.638,37.238,42.984297267347344,3635800,0.0,0.0
2019-06-25,38.188,38.188,36.877,42.37838601960954,4430400,0.0,0.0
2019-06-26,37.708,38.496,37.405,43.97920592867596,4969200,0.0,0.0
2019-06-27,38.693,39.195,38.258,43.964288582125825,4601800,0.0,0.0
2019-06-28,38.698,38.984,38.087,43.741148318556306,12360200,0.0,0.0
2019-07-01,39.692,40.246,39.577,46.05052291378058,8118600,0.0,0.0
2019-07-02,40.193,40.233,39.269,45.20644781851412,4317200,0.0,0.0
2019-07-03,39.344,39.648,38.909,45.22133738709121,1867400,0.0,0.0
2019-07-05,38.975,39.362,38.619,44.94902615425035,2536400,0.0,0.0
2019-07-08,38.83,39.089,38.61,44.288966467481245,2715400,0.0,0.0
2019-07-09,38.328,39.274,38.315,44.933689576138306,3582600,0.0,0.0
2019-07-10,39.582,40.175,39.204,45.00464053328985,2760600,0.0,0.0
2019-07-11,39.247,39.599,38.83,45.190933895785626,3666800,0.0,0.0
2019-07-12,39.714,40.364,39.507,46.1764873815902,3164800,0.0,0.0
2019-07-15,40.501,40.822,40.29,46.623157935473294,3007000,0.0,0.0
2019-07-16,40.237,40.334,39.674,45.68173460806516,3217400,0.0,0.0
2019-07-17,39.925,40.171,39.59,45.68745777356058,2364600,0.0,0.0
2019-07-18,40.079,40.888,39.982,46.75212299427407,2874200,0.0,0.0
2019-07-19,41.231,41.279,40.567,46.4536284513804,3855800,0.0,0.0
2019-07-22,40.888,41.411,40.782,47.07880906405695,3053600,0.0,0.0
2019-07-23,41.424,42.035,41.209,48.07963230634024,3531400,0.0,0.0
2019-07-24,42.853,44.001,42.51,50.180383528322835,8132000,0.0,0.0
2019-07-25,43.386,43.548,42.691,49.272716676070615,3347400,0.0,0.0
